id,trans
filename,scene_evt190527_cp4_q4_s20
translator,Gemini
info,scene_evt190527_cp4_q4_s20
48,为了直面真实的自我，法斯提瓦\n与木人桩相对，\n不断挥拳击打着。
47,哈啊啊啊啊啊！！
46,好好想想……法斯提瓦！\n如果你的心中有爱！！
45,我……\n到底能对团长大人说些什么！\n能为她做些什么！！
44,如此单薄、\n流于表面的安慰……\n……根本就不是爱！！
41,这些都不对！！
37,说句打起精神来，\n只是陪伴在她身边……？
33,拥抱她……？
29,还能说些什么\n来安慰她呢……！！
25,对团长大人！
21,这样的我！
20,法斯提瓦悲痛地喊着，\n将难以平复的心情\n倾注于紧握的拳头，\n击打在木人桩上。
19,但对至今仍活在某处的\n父亲的愤怒……\n我实在无法感同身受！
18,被父亲、被母亲\n抛下的悲伤\n我能理解……
17,我已经没有父母了……！
16,我，要怎样\n才能安慰\n承受着这份痛苦的团长大人呢！
15,可是……！
14,离开骑空艇，来到夜晚森林的\n法斯提瓦\n将扛来的木人桩立在了地上。
6,我明白……是的，我明白。\n那一定是团长大人心中\n非常重要的伤痛。
5,以及对抛下自己\n踏上旅途的父亲\n那份微不足道却沉重的愤怒……
4,团长大人心中的悲伤，\n是无法见到父亲的寂寞。
3,她（他）\n的肩上扛着一根\n用于练习的木人桩，\n默默地行走着。
2,深夜时分，从姬塔的梦境中\n抽身而出的法斯提瓦\n离开床铺，朝外面走去。
0-synopsis,法斯提瓦不知道该如何安慰姬塔，她怀着心事来到了夜晚的森林。然后，她将扛来的木人桩立在地上，拼命地开始了练习。一边质问自己什么是爱，法斯提瓦一边不停地挥拳击打着木人。
0-chapter_name,第4话 迷雾森林
