type,id,japanese_name,chinese_name,ids
skip,,,,2020040102|2020040103|2021040101|3999999990|3999999991
name,3020025000,エルメラウラ,艾尔梅拉乌拉,3020025000
name,3020026000,レオノーラ,雷欧诺拉,3020026000
name,3020027000,ガルマ,加鲁马,3020027000
name,3020033000,ノルセル,诺卢塞露,3020033000
name,3020045000,パヴィーダ,帕维多斯,3020045000
name,3020046000,エアロバイス,艾尔罗拜斯,3020046000
name,3020048000,ブリジール,布里吉尔,3020048000
name,3020049000,フレッセル,弗雷赛尔,3020049000
name,3020051000,ネネ,娜娜,3020051000
name,3020053000,アリステラ,阿里斯特拉,3020053000
name,3020055000,バルルガン,巴鲁鲁干,3020055000
name,3020056000,セロニム,赛罗尼姆,3020056000
name,3020064000,コーデリア,科德利亚,3020064000
name,3020066000,バクラ,巴库拉,3020066000
name,3020072000,猫,猫,3020072000
name,3030003000,アレク,阿雷克,3030003000
name,3030009000,ガイーヌ,该努,3030009000
name,3030014000,ウラムヌラン,乌拉姆奴兰,3030014000
name,3030024000,キハール,齐哈尔,3030024000
name,3030031000,ヘルナル,赫尔纳,3030004000|3030031000
name,3030036000,アルシャ,阿露希亚,3030036000
name,3030040000,島村卯月,岛村卯月,3030040000
name,3030041000,渋谷凛,涩谷凛,3030041000
name,3030045000,マライア,玛丽亚,3030045000
name,3030051000,城ヶ崎美嘉,城崎美嘉,3030051000
name,3030052000,本田未央,本田未央,3030052000
name,3030054000,リタ,莉塔,3030054000
name,3030057000,クラウディア,克劳迪娅,3030057000
name,3030058000,ドロシー,多萝西,3030058000
name,3030061000,エジェリー,艾洁丽,3030061000
name,3030064000,ミラオル,米拉奥尔,3030064000
name,3030066000,ヘイゼン,黑泽,3020009000|3030066000
name,3030067000,スィール,希尔,3030067000
name,3030069000,川島瑞樹,川岛瑞树,3030069000
name,3030070000,前川みく,前川未来,3030070000
name,3030071000,双葉杏,双叶杏,3030071000
name,3030074000,セイラン,西兰,3030074000
name,3030076000,ザーリリャオー,扎莉莉亚欧,3030076000
name,3030080000,ミラ＝マクスウェル,米拉·麦克斯威尔,3030080000
name,3030081000,ユーリ・ローウェル,尤利·罗威尔,3030081000
name,3030082000,ソフィ,索菲,3030082000
name,3030088000,城ヶ崎莉嘉,城崎莉嘉,3030088000
name,3030089000,三村かな子,三村加奈子,3030089000
name,3030090000,白坂小梅,白坂小梅,3030090000
name,3030091000,スフラマール,斯夫拉马尔,3020029000|3030091000
name,3030093000,ベス,贝丝,3030093000
name,3030094000,ガラドア,加拉多,3020004000|3030094000
name,3030097000,天道輝,天道辉,3030097000
name,3030098000,桜庭薫,樱庭薰,3030098000
name,3030099000,柏木翼,柏木翼,3030099000
name,3030104000,リュウ,隆,3030104000
name,3030105000,春麗,春丽,3030105000
name,3030106000,シグ,希格,3030028000|3030106000
name,3030114000,リナ＝インバース,莉娜因巴斯,3030114000
name,3030115000,白蛇のナーガ,白蛇娜卡,3030115000
name,3030116000,ダエッタ,达尔塔,3020024000|3030116000
name,3030119000,ライアン,莱安,3020000000|3030119000
name,3030120000,輿水幸子,舆水幸子,3030120000
name,3030121000,十時愛梨,十时爱梨,3030121000
name,3030122000,レッドラック,红色幸运,3030122000
name,3030125000,神月かりん,神月卡琳,3030125000
name,3030126000,ラシード,拉希德,3030126000
name,3030128000,エシオ,艾希欧,3020002000|3030128000
name,3030129000,スタン,斯坦,3020019000|3030129000
name,3030130000,真宮寺さくら,真宫寺樱,3030130000
name,3030131000,エリカ・フォンティーヌ,艾莉卡·方婷,3030131000
name,3030132000,ジェミニ・サンライズ,杰米莉,3030132000
name,3030135000,モルフェとヴェトル,莫尔菲＆维特尔,3030135000
name,3030136000,スタン・エルロン,斯坦·艾尔隆,3030136000
name,3030137000,ティア・グランツ,缇娅·格兰兹,3030137000
name,3030138000,エリーゼ・ルタス,艾丽泽·卢塔斯,3030138000
name,3030140000,ヨハン,约翰,3030050000|3030140000
name,3030143000,アウフスタ,奥古斯特,3030143000
name,3030145000,パメラ,帕梅拉,3030145000
name,3030146000,セシール,塞希尔,3030146000
name,3030149000,Ｊ・Ｊ,J·J,3030075000|3030149000
name,3030152000,クムユ,库姆尤,3020032000|3020047000|3030152000
name,3030158000,コトン・ブルー,蓝色布偶,3030158000
name,3030160000,アナスタシア,安娜史塔西亚,3030160000
name,3030161000,赤城みりあ,赤城米莉亚,3030161000
name,3030162000,神崎蘭子,神崎兰子,3030162000
name,3030166000,ミムルメモル＆切り株,米姆露梅莫璐＆树墩,3030166000
name,3030173000,覇王丸,覇王丸,3030173000
name,3030174000,ナコルル,娜可露露,3030174000
name,3030176000,マイム,麦姆,3030176000
name,3030179000,アリサ,亚丽莎,3030179000
name,3030180000,ルナ,露娜,3030180000
name,3030183000,ヴェリトール,威利托尔,3020054000|3030183000
name,3030185000,ルドミリア,路德米利亚,3030185000
name,3030193000,新田美波,新田美波,3030193000
name,3030194000,一ノ瀬志希,一之濑志希,3030194000
name,3030197000,ウェルダー,维鲁达,3020013000|3020022000|3020028000|3030197000
name,3030200000,カレン,卡莲,3030046000|3030200000
name,3030203000,炎獄先生エルモート,炎狱老师艾尔莫特,3030203000
name,3030205000,和泉守兼定,和泉守兼定,3030205000
name,3030206000,山姥切国広,山姥切国广,3030206000
name,3030207000,オーウェン,欧文,3030207000
name,3030209000,サーヤ,萨娅,3030063000|3030209000
name,3030210000,エゼクレイン,爱塞克雷因,3030027000|3030210000
name,3030220000,ミムルメモル＆パンプキン,米姆露梅莫璐＆南瓜,3030220000
name,3030222000,カルテイラ,卡鲁提拉,3020043000|3030222000
name,3030227000,ミカサ,三笠,3030227000
name,3030230000,カルバ,卡鲁巴,3020036000|3030230000
name,3030238000,安室透,安室透,3030238000
name,3030239000,バロワ,巴洛瓦,3020034000|3030154000|3030239000
name,3030243000,ヴァンツァ,万查,3020037000|3030243000
name,3030244000,エルタ,艾尔塔,3030025000|3030244000
name,3030248000,ファラ,法拉,3020006000|3030037000|3030103000|3030248000
name,3030250000,アルメイダ,阿鲁梅达,3030139000|3030250000
name,3030251000,カイラナ,凯拉娜,3020062000|3030251000
name,3030252000,チーム・ローアイン,罗艾因小队,3030252000
name,3030255000,ひよこ班 アーサー＆モルドレッド,小鸡班 亚瑟＆莫德雷德,3030255000
name,3030256000,ロジーヌ,罗丝涅,3020057000|3030256000
name,3030263000,スカル,斯卡尔,3030112000|3030263000
name,3030268000,アステール,阿斯特尔,3030044000|3030268000
