0-chapter_name,,第3話 最愛の女性,第三话 最爱的女人
0-synopsis,,ある夜。アガーテとの待ち合わせに向かったウォルフは、バロールの手によって血の海に沈んだアガーテを見つける。アガーテは、自身が聖騎士団所属であり、クーデターを起こす疑いがあるバロールを監視していたこと、はじめはバロールの情報を引き出すためウォルフに近づいたことを明かし、息を引き取った。激昂するウォルフに、バロールはかつてのウォルフが戻ってきたと喜び、ふたりは剣を交えるのだった。,某夜。沃尔夫前往与阿加特约定的见面地点，却发现阿加特已经被巴洛尔的手段弄得血流成河。阿加特在临死前透露，自己隶属于圣骑士团，并一直在监视有发动政变嫌疑的巴洛尔。她还坦白说，最初接近沃尔夫只是为了从他那里获取巴洛尔的信息。说完这些，阿加特便断了气。愤怒的沃尔夫引起了巴洛尔的兴趣，他高兴地表示，曾经的沃尔夫终于回来了，两人随即展开了对决。
2,ウォルフ,（予定よりだいぶ遅くなったな。\n叱られるのは確定か）,（比预定时间晚了不少啊。\n看来要挨骂了）
3,,澄み渡る星空が広がる、\n静寂に包まれたとある丘。,在一片寂静笼罩的山丘上，广阔的星空清晰可见。
4,,日々戦いに身を投じる\nウォルフとアガーテにとって、\nそこは心を癒せる貴重な場所で……,对于每天都身处战斗中的沃尔夫和阿加特来说，那是一个能够让他们心灵得到治愈的珍贵之地……
5,,その場所を見つけて以来、\n時折訪れてはゆっくり過ごすのが\nふたりのお気に入りの時間だった。,自从发现了那个地方后，两人偶尔会去那里，慢慢度过这段最爱的时光。
6,ウォルフ,（あいつが好きなこの焼き菓子で\n機嫌を直してくれればいいが）,（希望她能因为这块她喜欢的烤点心而消气吧）
7,,苦笑を浮かべたウォルフは\n薄闇の中、地面に寝そべる\nアガーテの姿を発見する。,沃尔夫带着苦笑，在昏暗中发现了躺在地上的阿加特。
8,アガーテ,…………,…………
9,ウォルフ,（寝てるのか。\n相当疲れてたんだろうな。\n後で謝って……）,（睡着了吗。\n看来她真的很累啊。\n等会再道歉吧……）
10,ウォルフ,っ！？,啊！？
12,,ウォルフは異変に気づき、\nアガーテに駆け寄る。,沃尔夫察觉到异常，立刻冲向阿加特。
13,,アガーテの腹部から大量の血が溢れ、\n地面に赤い池を作っていた。,阿加特的腹部涌出大量鲜血，在地上形成了一个血池。
14,ウォルフ,<span class='scene-font-4'>アガーテ！　アガーテ！！</span>\n何があった……！！,<span class='scene-font-4'>阿加特！ 阿加特！！</span>\n发生了什么……！！
17,バロール,そいつはもう助からない。\n諦めな。,她已经救不回来了。放弃吧。
18,ウォルフ,<span class='scene-font-4'>バロール！</span>\nなぜお前がここに──,<span class='scene-font-4'>巴洛尔！</span>\n为什么你会在这里──
